Time,Storage
2010-03-08,5163
2010-03-15,5155
2010-03-22,5102
2010-03-29,5046
2010-04-05,4995
2010-04-12,4945
2010-04-19,4955
2010-04-26,4927
2010-05-03,5037
2010-05-10,5110
2010-05-17,5199
2010-05-24,5087
2010-05-31,5016
2010-06-07,4959
2010-06-14,4982
2010-06-21,5163
2010-06-28,5240
2010-07-05,5213
2010-07-12,5260
2010-07-19,5442
2010-07-26,5400
2010-08-02,5359
2010-08-09,5292
2010-08-16,5467
2010-08-23,5709
2010-08-30,5909
2010-09-06,6194
2010-09-13,6320
2010-09-20,6539
2010-09-27,6628
2010-10-04,6715
2010-10-11,6740
2010-10-18,6761
2010-10-25,6798
2010-11-01,6818
2010-11-08,6865
2010-11-15,6856
2010-11-22,6824
2010-11-29,6867
2010-12-06,6858
2010-12-13,7021
2010-12-20,7066
2010-12-27,7046
2011-01-03,6964
2011-01-10,6838
2011-01-17,6914
2011-01-24,6830
2011-01-31,6705
2011-02-07,6560
2011-02-14,6452
2011-02-21,6384
2011-02-28,6349
2011-03-07,6381
2011-03-14,6292
2011-03-21,6180
2011-03-28,6287
2011-04-04,6285
2011-04-11,6231
2011-04-18,6203
2011-04-25,6167
2011-05-02,6090
2011-05-09,5996
2011-05-16,5985
2011-05-23,5964
2011-05-30,5896
2011-06-06,5899
2011-06-13,6110
2011-06-20,6141
2011-06-27,6602
2011-07-04,6640
2011-07-11,7016
2011-07-18,7182
2011-07-25,7180
2011-08-01,7259
2011-08-08,7469
2011-08-15,7522
2011-08-22,7711
2011-08-29,7747
2011-09-05,7876
2011-09-12,7963
2011-09-19,8068
2011-09-26,8261
2011-10-03,8261
2011-10-10,8217
2011-10-17,8317
2011-10-24,8350
2011-10-31,8355
2011-11-07,8343
2011-11-14,8313
2011-11-21,8345
2011-11-28,8396
2011-12-05,8464
2011-12-12,8406
2011-12-19,8313
2011-12-26,8245
2012-01-02,8161
2012-01-09,8043
2012-01-16,8020
2012-01-23,7907
2012-01-30,7782
2012-02-06,7677
2012-02-13,7635
2012-02-20,7502
2012-02-27,7360
2012-03-05,7261
2012-03-12,7199
2012-03-19,7143
2012-03-26,7182
2012-04-02,7096
2012-04-09,7037
2012-04-16,6995
2012-04-23,6929
2012-04-30,6921
2012-05-07,6962
2012-05-14,7090
2012-05-21,7159
2012-05-28,7360
2012-06-04,7391
2012-06-11,7293
2012-06-18,7384
2012-06-25,7586
2012-07-02,7773
2012-07-09,7729
2012-07-16,7660
2012-07-23,7795
2012-07-30,7736
2012-08-06,7681
2012-08-13,7855
2012-08-20,7932
2012-08-27,8057
2012-09-03,8281
2012-09-10,8592
2012-09-17,8706
2012-09-24,8693
2012-10-01,8843
2012-10-08,8890
2012-10-15,8796
2012-10-22,8798
2012-10-29,8724
2012-11-05,8628
2012-11-12,8572
2012-11-19,8473
2012-11-26,8378
2012-12-03,8220
2012-12-10,8159
2012-12-17,8071
2012-12-24,8006
2012-12-31,7880
2013-01-07,7725
2013-01-14,7552
2013-01-21,7383
2013-01-28,7195
2013-02-04,7023
2013-02-11,6831
2013-02-18,6622
2013-02-25,6417
2013-03-04,6248
2013-03-11,6064
2013-03-18,5923
2013-03-25,5955
2013-04-01,5873
2013-04-08,5754
2013-04-15,5611
2013-04-22,5426
2013-04-29,5435
2013-05-06,5464
2013-05-13,5324
